Term	Mean	OrdinalClass	MajorityLabel	MajorityLabelRatio	NumberAnnotations	SetOfLabels
sunbath	-0.78	-1	-3	0.388888888888889	18	-1,-3,-3,1,2,-3,-3,-1,0,1,-3,0,-1,1,2,-3,-3,3
enraged	1.67	2	3	0.666666666666667	15	3,3,2,2,-3,-3,-3,3,3,3,3,3,3,3,3
exaltedly	-0.29	0	0	0.411764705882353	17	0,3,-3,0,-3,0,-3,-3,0,3,0,3,0,-3,0,-1,2
rise up	0.00	0	2	0.416666666666667	12	2,-3,2,-3,2,-3,1,-2,2,2,0,0
dejectedly	0.13	0	-3	0.266666666666667	15	1,-3,0,1,-3,1,2,-3,3,0,-3,2,2,2,0
festive	-0.67	-1	-3	0.388888888888889	18	-2,-3,-3,-3,-1,-3,1,2,2,-3,3,-1,-3,3,-3,1,3,-2
good job	-1.00	-1	-3	0.5	14	3,0,-3,2,1,3,-3,-2,-3,-3,-3,-3,-3,0
exultantly	1.47	1	3	0.470588235294118	17	2,2,2,1,3,3,0,-3,1,3,3,-3,3,-1,3,3,3
cheery	-0.84	-1	-3	0.473684210526316	19	-3,2,2,0,-3,-3,2,-3,1,-3,3,-3,-1,1,-3,-2,-3,-3,3
fortunate	-0.15	0	-3	0.25	20	-1,-1,1,-3,-1,-3,3,-1,-2,1,2,3,3,1,-3,-3,3,-2,-3,3
wonderfulness	-0.94	-1	-3	0.5	16	3,0,-3,3,-3,2,-3,-3,-3,1,-2,-3,1,-3,1,-3
goodhealth	-1.46	-1	-3	0.692307692307692	13	0,3,-3,3,-3,-3,-3,-3,-3,2,-3,-3,-3
smiley face	-1.33	-1	-3	0.6	15	1,1,-3,-3,-3,-3,-3,3,1,1,-3,-3,-3,-3,0
inexcusable	0.56	1	2	0.3125	16	1,2,1,2,1,-3,-3,3,-3,-3,1,1,2,2,3,2
warmth	-1.59	-2	-3	0.647058823529412	17	-3,-3,-3,-3,-3,3,-3,-3,3,-3,2,-3,1,-3,-2,-1,-3
elevated	-0.87	-1	-3	0.4	15	0,0,-3,2,-3,-3,-3,2,-3,-1,-1,3,0,0,-3
aggressive	0.82	1	2	0.411764705882353	17	2,2,2,2,-3,2,-3,-3,-3,3,3,1,1,2,1,2,3
jubilatory	0.80	1	3	0.333333333333333	15	-3,2,3,3,-3,3,3,0,0,2,-2,3,2,2,-3
assuredness	-0.67	-1	-3	0.4	15	-3,3,1,-2,1,-3,3,2,-3,-2,3,-3,-1,-3,-3
rescue	-0.12	0	-3	0.294117647058824	17	2,1,0,1,-3,2,-3,-3,-3,2,1,-1,1,-3,2,2,0
unscrupulous	0.74	1	2	0.421052631578947	19	2,1,2,2,2,2,-3,-3,-3,-3,2,2,0,2,3,1,1,1,3
acclaim	-1.00	-1	-3	0.421052631578947	19	0,1,-3,-1,2,-3,-3,-3,-3,-3,1,2,1,-2,2,-2,-3,-3,1
ardently	-0.37	0	-3	0.263157894736842	19	3,-2,2,1,1,-3,-3,-3,-3,-3,-1,-1,0,2,3,1,0,-1,0
hilarity	0.55	1	3	0.272727272727273	33	3,3,3,3,0,1,1,3,1,3,1,1,2,3,1,2,2,1,3,1,-2,3,-3,-3,-3,1,-3,-3,-3,-3,2,0,-3
pass away	0.00	0	-3	0.352941176470588	17	3,2,2,1,-3,-3,0,-3,-3,3,-3,3,3,-1,-3,2,0
well known	0.07	0	-3	0.214285714285714	14	0,0,2,-3,3,-1,-2,1,-3,3,-3,0,1,3
bordello	0.31	0	2	0.375	16	0,-3,-3,-3,2,-3,3,1,0,2,2,2,1,0,2,2
exhilarant	0.00	0	-3	0.3125	16	3,2,-3,-3,-3,-3,2,1,0,-3,2,2,3,-1,3,-2
