Term	Mean	OrdinalClass	MajorityLabel	MajorityLabelRatio	NumberAnnotations	SetOfLabels
morgue	0.53	1	2	0.368421052631579	19	2,1,2,2,3,-3,3,3,3,-3,-3,2,1,2,-3,2,-3,2,-3
magnificent	-1.47	-1	-3	0.578947368421053	19	-3,3,-3,2,-3,-1,-3,-3,-3,-3,3,-3,-3,-1,2,-3,-2,-1,-3
exterminator	0.12	0	-3	0.3125	16	0,2,1,-3,-3,-3,-3,-3,3,2,2,1,2,1,1,2
jubilantly	-0.59	-1	-3	0.411764705882353	17	0,-3,-3,1,1,3,3,3,-1,2,0,-1,-3,-3,-3,-3,-3
inner strength	0.60	1	3	0.333333333333333	15	0,3,-3,3,-3,2,3,3,0,0,-3,3,-3,2,2
copacetic	-0.89	-1	-3	0.388888888888889	18	1,-3,-3,3,0,-3,0,0,-3,-2,-3,0,1,-1,-3,3,0,-3
soporific	-0.69	-1	-3	0.375	16	1,2,-3,-1,3,3,-3,-3,-3,1,0,-1,1,-3,-2,-3
certainty	-0.50	-1	-3	0.3	20	2,1,0,0,0,-3,-3,-3,-3,-3,3,1,0,-2,1,-2,-3,3,-2,3
get better	-1.06	-1	-3	0.5	18	-1,-2,-3,-3,1,-3,-3,2,-3,3,3,-2,-3,-3,3,1,-3,-3
great	-0.47	0	-3	0.333333333333333	15	0,1,0,0,-3,2,-3,1,0,-1,2,-3,3,-3,-3
grievous	1.24	1	3	0.352941176470588	17	-3,-3,-3,1,3,2,1,0,3,2,3,2,3,2,3,2,3
delightedly	-0.87	-1	-3	0.466666666666667	15	3,0,-3,-3,-3,-3,3,-3,-2,-2,2,3,-3,-3,1
virtuousness	0.00	0	-3	0.3125	16	-3,3,1,2,1,-3,3,2,0,-3,3,-3,1,-3,-2,1
meth	1.30	1	3	0.4	20	3,2,3,2,3,-3,-3,-3,2,-3,3,3,1,3,2,2,3,3,2,1
invigorate	1.00	1	2	0.470588235294118	17	1,-3,2,2,-2,-2,2,2,3,2,3,3,1,-3,2,2,2
brilliant	0.53	1	1	0.302325581395349	43	-3,3,3,0,1,3,1,2,1,2,1,3,1,1,3,2,3,1,1,3,2,1,2,3,1,2,2,1,1,-3,-3,-3,-3,-3,0,2,2,-3,-3,-2,1,-3,-3
find solace	-0.72	-1	-3	0.444444444444444	18	0,0,3,-3,-1,-3,-3,3,-3,2,-3,1,-1,-3,3,-3,-3,1
euphoric	-1.11	-1	-3	0.473684210526316	19	-3,-3,-3,-3,3,0,2,2,-2,-3,-1,2,3,-2,-3,-3,-3,-1,-3
kindheartedness	-1.79	-2	-3	0.631578947368421	19	-2,-1,-3,-3,3,-3,-3,-3,-3,3,-2,3,-3,-3,-3,-2,-3,-3,-3
soul mate	-0.06	0	-3	0.294117647058824	17	0,0,-1,3,-3,-3,1,1,3,3,2,-3,1,-3,-3,0,1
medusa	1.08	1	3	0.416666666666667	12	0,-3,-3,0,3,3,3,3,3,2,1,1
encouragement	-0.75	-1	-3	0.45	20	2,2,-1,-3,-1,1,-3,-3,3,-3,3,1,2,-1,-3,-3,-3,-3,-3,1
the end	-0.05	0	2	0.263157894736842	19	-3,2,-3,1,0,0,-3,0,-3,1,2,2,-1,2,0,0,3,-3,2
thankfulness	-1.19	-1	-3	0.625	16	-3,0,3,-3,3,-1,3,-3,3,-3,-3,-3,-3,-3,-3,-3
good friend	-1.80	-2	-3	0.733333333333333	15	-3,-3,3,-3,-3,-3,2,-3,-3,-3,-3,-3,-3,1,0
alcohol poisoning	1.25	1	3	0.375	8	-1,3,3,3,1,-3,2,2
out cold	-0.06	0	2	0.294117647058824	17	-3,-3,2,2,2,2,-3,0,0,2,0,0,3,-3,1,-3,0
demonist	0.63	1	-3	0.210526315789474	19	2,0,2,1,1,-3,3,-3,-3,-3,3,3,2,0,0,3,2,1,1
vehement	0.82	1	2	0.294117647058824	17	-3,1,-3,-3,-3,2,3,1,3,1,3,2,2,2,1,3,2
good faith	-0.86	-1	-3	0.571428571428571	14	-3,-3,3,-3,-3,1,3,-3,1,-3,-3,-3,1,3
splendorous	-0.29	0	-3	0.294117647058824	17	0,3,0,-3,-3,-3,-3,2,3,1,0,1,-2,-3,2,-1,1
nice day	0.00	0	-3	0.4	15	1,3,0,2,-3,3,2,2,-3,-3,-3,3,-3,2,-3
subzero	0.53	1	2	0.235294117647059	17	-3,1,0,-3,-3,3,3,2,3,2,-2,1,2,0,2,0,1
mirthful	-1.26	-1	-3	0.578947368421053	19	-3,1,-3,-3,-3,1,-3,0,-3,-3,2,-3,0,-3,0,-3,-3,2,3
died	1.64	2	3	0.642857142857143	14	-3,3,-2,3,2,3,-3,3,2,3,3,3,3,3
resoluteness	-0.38	0	-3	0.375	16	0,0,-3,3,-3,-3,2,-3,3,1,2,-2,-3,3,0,-3
joy	-1.56	-2	-3	0.722222222222222	18	-3,-3,3,-3,-3,-3,-3,-3,-3,3,3,-3,-3,-3,-3,-3,0,2
fulfill	0.22	0	0	0.259259259259259	27	3,3,3,3,1,1,1,1,1,1,2,2,3,-3,-3,-3,0,-3,0,-3,0,0,0,-2,0,-2,0
conviction	-0.50	-1	-3	0.35	20	-3,1,1,1,-3,0,-3,-3,-3,0,3,1,0,3,1,-3,1,-3,-2,1
deadness	0.33	0	2	0.266666666666667	15	1,-2,2,2,0,-3,3,-1,3,2,1,-3,2,-3,1
coziness	0.25	0	3	0.4375	16	1,-3,1,3,-3,3,3,3,-3,-2,-3,3,-3,3,-2,3
thrilled	0.07	0	-3	0.4	15	-3,-3,2,3,-3,-3,0,3,3,-1,3,3,-3,-3,3
ebullient	-0.12	0	-3	0.3125	16	-3,-3,0,0,1,-3,2,-3,3,2,3,-2,3,-2,-3,3
piping hot	0.33	0	2	0.333333333333333	15	2,-3,-3,-3,-3,2,0,2,1,1,3,1,2,2,1
disgusted	0.47	0	-3	0.263157894736842	19	0,1,2,1,-3,-3,-3,-3,-3,2,1,2,3,3,1,2,2,3,1
lightning strike	0.47	0	2	0.4	15	2,-3,-3,-3,-3,2,1,2,1,3,2,2,1,1,2
bravest	-0.87	-1	-2	0.333333333333333	15	0,3,-2,-2,-2,-2,0,-3,-3,-2,0,3,-3,-3,3
causticity	0.47	0	0	0.333333333333333	15	2,1,0,0,-3,-3,0,0,-3,3,3,0,3,2,2
dead person	0.83	1	3	0.333333333333333	18	3,2,-3,3,3,0,0,3,2,2,-2,-3,2,3,3,0,-3,0
sereneness	-1.78	-2	-3	0.722222222222222	18	-1,3,-3,-3,-3,-3,-3,-3,3,-3,2,-3,-3,-3,-3,-3,0,-3
enraptured	-1.33	-1	-3	0.533333333333333	15	-3,1,-3,-3,2,-3,-3,-1,1,1,-3,-3,2,-3,-2
heartiness	-0.40	0	-3	0.266666666666667	15	1,1,-3,-3,3,1,2,-2,-3,-1,-2,-2,-3,2,3
ovation	0.50	1	2	0.3	20	-3,2,1,2,2,2,2,-1,-1,-1,3,1,3,-3,-3,2,1,3,-3,1
unconsciousness	-0.06	0	-3	0.235294117647059	17	-3,2,-3,1,-3,2,-2,2,1,-3,3,-1,0,0,2,-2,3
rejuvenate	-1.44	-1	-3	0.611111111111111	18	-2,3,-3,-3,3,-3,-1,3,-3,-3,-3,-3,-2,-3,3,-3,-3,-3
clean house	-0.53	-1	-3	0.266666666666667	15	-3,-2,3,1,0,-2,-3,3,-3,2,0,2,-1,-3,-2
brave	-0.23	0	-2	0.307692307692308	13	2,1,3,0,2,-2,-3,-3,1,2,-2,-2,-2
awe inspiring	-1.21	-1	-3	0.642857142857143	14	3,3,-3,-3,-3,-3,-1,-3,-3,-3,-3,3,2,-3
homesweethome	0.74	1	3	0.315789473684211	19	3,1,-3,0,3,-3,0,0,0,2,2,3,3,2,3,3,-3,-3,1
escalating	0.60	1	2	0.55	20	0,2,2,2,2,-3,-3,-3,-3,-3,2,2,3,1,2,1,2,2,2,2
clean water	-0.58	-1	-3	0.368421052631579	19	-3,-3,3,3,-2,-2,-2,-2,1,2,-3,3,3,-3,3,-3,0,-3,-3
bon voyage	-0.06	0	-3	0.294117647058824	17	1,0,3,-2,-3,-3,-3,-3,3,0,3,3,-3,0,3,2,-2
well being	0.71	1	3	0.5	14	-3,-3,3,-3,-3,3,3,3,-3,2,3,2,3,3
forceful	0.68	1	1	0.315789473684211	19	1,1,1,2,-3,-3,-3,-3,1,2,3,3,2,3,0,1,1,2,2
gloriousness	-0.47	0	-3	0.333333333333333	15	1,0,-3,1,2,-3,0,2,-2,1,1,-3,2,-3,-3
dignity	-1.12	-1	-3	0.5	16	0,2,2,-3,-3,3,0,-3,-3,3,-3,-2,-3,-3,-2,-3
deceased	0.45	0	-3	0.3	20	0,2,-3,-3,3,0,-3,-3,-3,-3,3,3,3,2,2,0,2,2,2,3
inferno	1.58	2	3	0.631578947368421	19	3,-3,2,-3,-3,3,3,3,3,3,3,-3,3,2,3,3,3,2,3
strength	0.11	0	0	0.388888888888889	18	0,0,3,-3,-2,0,-3,0,-1,3,-3,0,0,0,3,3,-1,3
sprightliness	0.00	0	3	0.294117647058824	17	-1,3,-2,-3,-2,0,-2,2,-1,-1,3,3,3,-3,-2,0,3
victorious	0.44	0	3	0.277777777777778	18	2,0,2,3,-3,0,-3,-3,-3,3,2,3,-2,-1,3,3,2,0
happy camper	-0.28	0	-3	0.333333333333333	18	1,1,1,-2,-1,1,-3,-3,-3,-3,-3,3,-3,1,3,-1,3,3
supportive	-1.00	-1	-3	0.473684210526316	19	1,-3,-2,3,-3,-3,-3,-3,-3,3,3,-2,3,-3,-2,-3,3,-3,-2
destructor	1.37	1	3	0.368421052631579	19	1,3,2,3,3,-3,-3,-3,0,2,3,3,3,3,1,2,2,2,2
fornication	0.89	1	3	0.277777777777778	18	-3,2,2,-3,-3,3,3,3,3,3,1,1,2,-2,2,0,1,1
brilliantly	-0.76	-1	-3	0.411764705882353	17	0,2,-3,-3,-3,0,0,-3,3,-1,3,-1,-3,3,-1,-3,-3
roar	0.33	0	-3	0.222222222222222	18	3,2,1,-2,2,-3,0,-3,-3,-3,2,3,2,0,3,1,1,0
clearness	-0.70	-1	-3	0.3	20	0,0,0,0,3,-3,-3,-3,-3,3,-2,-3,-1,-3,1,0,0,-1,-2,3
genocidal	1.92	2	3	0.75	12	3,-3,3,-3,3,3,3,3,2,3,3,3
satisfied	-2.06	-2	-3	0.8125	16	3,-3,3,-3,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
embolden	-0.47	0	-3	0.352941176470588	17	0,2,1,-3,1,2,-3,3,1,2,-1,-3,-3,-3,-2,-3,1
conquering	-0.06	0	-3	0.277777777777778	18	0,3,1,0,0,-3,-3,0,-3,-3,1,2,-3,3,1,1,0,2
nurture	-0.94	-1	-3	0.411764705882353	17	1,3,-1,-3,-3,-3,1,1,-3,0,2,-3,-2,2,-3,-2,-3
barbarianism	0.42	0	2	0.368421052631579	19	2,2,0,0,2,2,-3,-3,-3,-3,1,2,-3,3,3,2,1,2,1
hope	-1.44	-1	-3	0.666666666666667	18	-3,-3,-3,3,-3,3,-3,-3,-3,3,-3,3,-3,-3,-2,0,-3,-3
darkest	0.27	0	2	0.363636363636364	11	2,1,-3,-1,2,3,2,2,1,-3,-3
oblivion	-0.74	-1	-3	0.368421052631579	19	2,-1,1,1,-3,3,-3,-2,0,-2,-3,-3,1,0,3,-3,-3,1,-3
stouthearted	-1.00	-1	-3	0.4	15	0,0,-2,3,-3,0,3,2,-1,-3,-3,-3,-3,-3,-2
bask in	-0.59	-1	-3	0.352941176470588	17	3,-3,-2,-2,-3,1,2,-3,3,3,-2,-3,-3,-2,2,-3,2
exultation	-1.33	-1	-3	0.666666666666667	12	3,-3,-3,-3,-3,3,3,-1,-3,-3,-3,-3
good mood	-1.53	-2	-3	0.684210526315789	19	-3,-3,3,-3,-1,3,-3,-3,-3,-3,2,-3,-3,-3,-3,-3,-3,1,2
golden years	-0.39	0	-3	0.333333333333333	18	-3,-3,-3,0,1,-3,2,-1,0,1,3,-1,1,0,-3,-3,2,3
fighting spirit	0.72	1	2	0.333333333333333	18	2,-1,3,1,-3,-3,2,-3,2,3,1,2,3,1,2,0,-1,2
tigress	-0.06	0	-3	0.277777777777778	18	0,0,3,-3,2,-3,-3,-3,1,-3,0,0,2,0,2,1,2,1
enjoyment	-1.82	-2	-3	0.705882352941177	17	-3,1,-3,-3,-3,3,-1,-3,-3,-3,-3,-3,-3,-3,-1,-3,3
useful	-1.08	-1	-3	0.461538461538462	13	-1,1,1,-3,-3,-3,3,0,-1,-3,-3,-3,1
agent orange	1.00	1	3	0.5	14	-3,-3,-3,3,-3,3,3,3,3,3,2,1,3,2
resilience	-1.75	-2	-3	0.75	16	3,-3,-3,3,-3,-3,-3,-3,3,-3,-3,-1,-3,-3,-3,-3
safe haven	-1.62	-2	-3	0.615384615384615	13	-3,-3,-1,-3,-3,1,-3,-3,-2,3,2,-3,-3
kind	-0.80	-1	-3	0.5	20	3,-3,-3,1,-2,-3,0,-3,-3,-3,2,-3,3,3,-3,3,-3,-2,-3,3
exhausted	0.86	1	2	0.323232323232323	99	2,2,2,3,3,3,2,1,1,2,1,2,2,1,2,3,3,2,2,3,1,2,2,2,1,2,3,1,2,3,3,1,1,2,2,-2,3,2,0,-2,2,1,-2,-3,-3,1,3,-3,3,2,-3,-3,-3,-2,-2,-3,2,-3,-3,-3,-2,2,3,-3,-3,0,-3,3,-3,-3,2,3,3,-3,-2,2,3,3,2,3,1,3,2,-1,1,2,2,1,1,3,2,2,-2,3,1,2,3,2,1
prostitute	0.94	1	2	0.388888888888889	18	2,-3,-3,1,-3,1,2,-3,3,2,1,2,2,3,2,3,2,3
locust	-0.06	0	-3	0.277777777777778	18	-3,-3,-3,-3,0,1,1,0,-3,2,1,1,3,0,3,2,0,0
brighten	-1.12	-1	-3	0.470588235294118	17	1,0,2,1,3,-2,-1,-3,-3,-3,-2,-3,-3,-3,3,-3,-3
bloodless	-1.00	-1	-3	0.421052631578947	19	-3,0,-2,1,2,-3,-3,-3,-3,-3,-2,2,-1,0,2,0,-3,3,-3
inspiration	-1.63	-2	-3	0.684210526315789	19	-3,0,3,0,0,-3,-3,-3,-3,-3,3,2,-3,-3,-3,-3,-3,-3,-3
wholeheartedness	-1.35	-1	-3	0.588235294117647	17	-3,-3,0,3,-3,-2,-3,-3,3,2,-3,-3,3,-3,-2,-3,-3
liveliness	0.25	0	2	0.3125	16	3,2,2,-3,2,3,-2,0,0,1,-1,-2,-2,2,-3,2
flawlessness	-0.67	-1	0	0.333333333333333	15	0,2,-3,0,0,0,3,-1,-3,-3,-3,0,-2,3,-3
beaming	-1.17	-1	-3	0.5	18	2,-3,-3,1,-3,-3,0,-3,3,2,-2,-3,-3,-3,-2,-3,-1,3
cavernously	0.33	0	0	0.277777777777778	18	2,0,-2,-2,3,3,3,-2,3,0,-3,1,-3,0,2,0,0,1
balefully	1.00	1	2	0.375	16	2,2,-3,3,2,-3,-3,1,3,3,0,2,2,0,3,2
impassioned	-0.05	0	2	0.368421052631579	19	1,2,0,2,2,-3,-3,-3,-3,-3,-3,-1,1,1,2,1,2,2,2
generously	-1.13	-1	-3	0.466666666666667	15	-2,-1,3,0,0,-3,3,-3,-3,-3,-3,-3,-1,-3,2
happiest	-1.12	-1	-3	0.625	16	-3,3,2,-3,-3,-3,-3,-3,3,-3,3,-3,3,-3,-2,-3
divine	0.39	0	1	0.388888888888889	36	3,3,3,3,3,1,1,1,1,1,3,2,1,1,1,2,1,3,1,1,1,1,-3,-3,-3,-3,-3,-1,-3,-3,0,-2,2,1,0,-3
cozily	-1.00	-1	-3	0.533333333333333	15	-3,-3,1,-3,1,-3,1,-3,3,3,-3,-2,2,-3,-3
thrill to	0.87	1	3	0.4	15	3,-3,-3,-3,-3,3,2,1,3,3,2,1,1,3,3
fired up	0.50	1	-3	0.285714285714286	14	2,-3,-3,-3,-3,0,2,3,2,1,1,3,3,2
somuchtodo	0.39	0	1	0.277777777777778	18	0,0,1,2,0,-3,-3,-3,-3,3,1,3,1,2,1,2,2,1
goodfeeling	0.08	0	-2	0.307692307692308	13	1,-2,-2,-2,3,2,-3,1,3,2,-2,-3,3
backbreaking	0.47	0	2	0.352941176470588	17	2,0,1,-3,-3,-3,-3,-3,3,2,3,2,2,3,2,1,2
top secret	0.47	0	2	0.368421052631579	19	3,2,3,2,1,-3,-3,-3,-3,-3,1,2,2,1,2,0,1,2,2
stable	-1.41	-1	-3	0.647058823529412	17	-1,-3,-3,3,-3,-3,-3,3,-3,-3,3,-3,-3,-2,-3,3,-3
soullessness	0.29	0	-3	0.285714285714286	14	2,-3,-3,-3,-3,2,3,2,1,3,0,0,2,1
repress	0.24	0	2	0.411764705882353	17	2,2,3,2,-3,-3,-3,-3,1,2,-2,2,-2,1,1,2,2
welcoming	-1.50	-2	-3	0.642857142857143	14	-3,-3,1,-3,2,-2,3,-3,-3,-3,-3,-3,2,-3
antimilitarism	-0.47	0	-3	0.266666666666667	15	1,0,1,-3,2,-3,2,-2,0,-3,-2,3,-3,2,-2
well paid	-0.68	-1	-3	0.368421052631579	19	1,-3,2,-3,0,0,-3,-2,-3,-3,3,-3,1,0,-2,-3,2,1,2
moribund	1.06	1	3	0.388888888888889	18	2,2,1,2,-3,3,-3,-3,0,3,3,2,3,1,3,3,-3,3
ambulance	0.44	0	2	0.333333333333333	18	3,1,-2,2,-2,-3,-3,-3,-3,2,1,2,1,2,2,3,3,2
warmheartedly	-1.12	-1	-3	0.411764705882353	17	-3,1,2,-3,-3,-3,-1,-3,-3,-1,-3,-2,1,-2,-1,2,3
make happy	0.27	0	3	0.333333333333333	15	1,-3,3,1,2,1,-3,3,-1,-3,-3,3,3,3,-3
succeed	-0.32	0	-3	0.263157894736842	19	0,1,1,0,-3,3,1,-3,-3,3,-1,-1,-2,-3,1,2,3,-2,-3
hearten	-1.57	-2	-3	0.571428571428571	14	-1,-3,-3,1,-3,2,-3,-3,-3,-3,-1,3,-3,-2
comforting	-1.94	-2	-3	0.764705882352941	17	-3,2,-3,-3,-2,3,-3,-3,-3,-3,-3,-3,3,-3,-3,-3,-3
have confidence	-0.76	-1	-3	0.470588235294118	17	-3,-3,3,-3,-2,-3,3,-3,3,3,0,-3,-3,-1,0,2,-3
sanguine	-0.67	-1	-3	0.222222222222222	18	-2,1,-2,1,-2,3,2,-1,1,-1,-3,0,-1,-3,-3,-3,-2,3
grand	-0.95	-1	-3	0.421052631578947	19	1,2,0,1,0,-3,-3,-3,0,-3,3,-3,-3,-1,2,-3,-1,-1,-3
eager	0.33	0	2	0.277777777777778	18	1,1,2,3,0,-3,-3,2,-3,-3,2,1,2,2,-1,3,1,-1
cheer	-1.67	-2	-3	0.666666666666667	18	1,0,2,2,-3,-3,-3,-3,-3,3,-3,-2,-3,-3,-3,-3,-3,-3
thankfully	-1.53	-2	-3	0.6	15	-3,-1,3,-3,-3,3,-3,-2,-3,-3,-3,-1,2,-3,-3
unhealthy	0.53	1	2	0.470588235294118	17	1,0,2,1,2,-3,-3,-3,-3,2,2,0,2,2,2,3,2
tombstone	0.71	1	3	0.357142857142857	14	-3,-3,3,3,3,3,3,0,2,0,0,2,0,-3
scarring	0.60	1	2	0.466666666666667	15	2,-3,2,-3,-3,-3,1,2,3,2,0,2,2,3,2
perfection	-0.80	-1	-3	0.35	20	0,1,-2,3,0,-3,-3,-3,-3,-1,3,-1,-3,0,-3,2,0,-3,2,-2
asbestos	0.73	1	-2	0.333333333333333	15	2,2,-2,-2,-2,-2,-2,1,3,2,3,3,2,0,3
hellishly	1.85	2	3	0.615384615384615	13	2,-3,2,-3,2,3,3,3,3,3,3,3,3
castigation	1.07	1	2	0.357142857142857	14	2,3,1,3,-2,-2,-2,-2,3,2,2,2,2,3
lionhearted	-0.53	-1	-3	0.352941176470588	17	2,-3,0,-3,-3,-3,-3,2,3,1,1,0,-2,1,3,-2,-3
improving	-0.89	-1	-3	0.421052631578947	19	1,-3,1,1,0,-3,-3,2,-2,-3,-3,-3,3,-2,-3,1,1,-3,1
jovialness	-1.08	-1	-3	0.5	12	-3,2,-3,-3,1,1,-3,1,-3,-2,2,-3
safe environment	-0.29	0	-3	0.294117647058824	17	0,-3,3,-2,2,-2,-2,-3,-3,3,3,2,-3,-3,2,-2,3
litheness	-1.47	-1	-3	0.578947368421053	19	3,-3,0,-3,0,-3,-3,-3,-3,-3,3,-3,-3,0,0,-3,-3,-2,1
exhilarate	1.19	1	3	0.5	16	-3,0,3,2,3,3,-3,3,3,3,-1,3,1,3,2,-3
enthusiasm	-1.78	-2	-3	0.722222222222222	18	2,3,-3,2,-3,-3,-3,-3,-3,-3,-3,-3,-1,-3,-3,1,-3,-3
mourning	-0.05	0	-3	0.3	20	2,-3,2,1,-2,-3,1,-3,0,-2,-3,1,3,3,1,-3,2,3,-3,2
dying	1.38	1	3	0.6875	16	3,3,1,-3,-3,3,-3,-3,3,3,3,3,3,3,3,3
rebirth	-0.29	0	-3	0.235294117647059	17	-3,-1,-3,1,0,-1,2,3,1,1,2,-3,-3,1,-2,-2,2
rest assured	-1.53	-2	-3	0.578947368421053	19	-3,0,-3,-3,-3,-3,-3,-3,3,-3,3,-1,-1,-3,-2,1,-3,1,-3
balminess	-0.36	0	-3	0.357142857142857	14	2,-3,1,-3,-3,3,1,-3,-1,3,-3,-2,3,0
dirt cheap	-0.08	0	0	0.307692307692308	13	3,-3,3,0,3,-3,-3,-1,1,-1,0,0,0
see beyond	-0.67	-1	-3	0.333333333333333	9	-3,-3,-2,0,1,2,0,2,-3
good manners	-0.86	-1	-3	0.428571428571429	14	-3,-1,-3,-3,-3,3,0,1,-2,0,-3,2,3,-3
unabated	0.00	0	-3	0.3125	16	0,2,1,2,-3,-3,-3,-3,-3,0,3,2,1,0,2,2
blessings	-1.11	-1	-3	0.555555555555556	18	-3,2,1,0,-3,-3,0,-3,-3,-3,3,-3,-3,3,-3,-3,0,1
wonderful	-1.68	-2	-3	0.631578947368421	19	1,2,-1,-3,3,-3,-3,-3,-3,-3,3,-3,-2,-3,-3,-3,-2,-3,-3
depress	0.20	0	3	0.257142857142857	35	-3,-3,-3,-3,0,0,-2,-3,-2,0,-3,-2,-1,0,0,0,-3,-2,0,0,3,3,3,2,3,3,3,2,3,1,1,3,2,2,3
invincible	-0.39	0	-3	0.333333333333333	18	0,0,-3,-1,3,-3,-3,1,-3,3,2,0,1,-3,1,-3,1,0
suicide	1.88	2	3	0.764705882352941	17	-3,-3,-3,3,3,3,3,3,3,2,3,3,3,3,3,3,3
safe bet	0.00	0	0	0.285714285714286	14	0,0,3,-3,1,-3,1,0,3,2,1,-3,-2,0
all better	-1.37	-1	-3	0.526315789473684	19	-3,-3,-1,-3,0,-3,0,3,-3,-3,-2,-3,2,2,-3,-3,-1,1,-3
greatfriends	0.00	0	2	0.3125	16	1,0,-3,-3,2,2,2,2,1,1,-3,2,-3,1,-3,1
empathetic	-0.77	-1	-3	0.384615384615385	13	0,-3,-3,-3,0,1,2,-3,3,0,-3,0,-1
reunited	0.12	0	3	0.1875	16	0,-1,1,3,2,3,-3,3,0,1,-3,-2,1,2,-2,-3
salvation	-1.94	-2	-3	0.722222222222222	18	-3,1,-3,-1,3,-3,-3,-3,-3,-3,3,-3,-3,-3,-2,-3,-3,-3
elated	-1.68	-2	-3	0.631578947368421	19	3,-3,-3,-3,-3,-3,-3,-3,3,-3,0,-2,3,-3,-3,-1,-3,-2,-3
elatedness	-0.20	0	-3	0.466666666666667	15	3,-3,-3,3,3,3,3,-3,1,-3,-1,3,-3,-3,-3
invincibility	-0.60	-1	-3	0.35	20	2,1,-2,-1,1,-3,2,2,-3,-3,-3,-2,-3,3,0,0,0,-3,-3,3
paradise	-1.89	-2	-3	0.789473684210526	19	-3,-3,-3,0,-3,3,-3,-3,-3,3,-3,3,-3,-3,-3,-3,-3,-3,-3
faraway	-1.38	-1	-3	0.538461538461538	13	-3,1,0,-3,3,0,-3,1,-2,-3,-3,-3,-3
discontent	0.21	0	2	0.473684210526316	19	2,2,2,2,2,-2,-3,-2,-2,1,-3,-3,-3,2,0,2,2,3,2
trustfulness	-0.87	-1	-3	0.466666666666667	15	1,-3,2,-3,-2,-2,-3,3,-3,-3,3,-3,-3,0,3
sureness	-0.33	0	3	0.333333333333333	15	-1,-3,2,-2,3,-2,-2,3,3,-3,3,-3,-3,3,-3
peaceofmind	-0.53	-1	-3	0.466666666666667	15	1,1,3,-3,-3,3,3,1,-2,-3,-3,-3,-3,-3,3
anger management	0.37	0	1	0.368421052631579	19	2,1,1,2,-3,-3,0,-3,-3,3,3,3,1,1,1,0,1,-1,1
eternally grateful	-1.62	-2	-3	0.6875	16	-3,3,-3,-3,-3,0,1,-3,-3,0,-3,-3,3,-3,-3,-3
terrible	0.94	1	1	0.352941176470588	17	3,-3,-3,-3,1,3,1,3,1,1,2,3,1,1,3,0,2
liberating	-0.56	-1	-3	0.375	16	0,-2,3,-3,0,-3,-3,3,-3,-3,-3,-1,3,2,3,-2
deafening	1.22	1	2	0.5	18	0,-3,-3,-3,2,3,2,1,2,3,3,2,2,2,2,2,3,2
thrill	0.83	1	3	0.388888888888889	18	-2,1,-1,1,-3,3,-3,-3,3,3,2,1,-1,3,3,3,2,3
bullies	0.33	0	2	0.4	15	2,2,-3,-3,-3,-3,-3,1,2,2,3,1,2,3,2
cloud nine	0.94	1	3	0.625	16	-3,3,3,-1,3,3,-3,3,3,-3,-2,3,3,3,-3,3
valor	-0.63	-1	-3	0.421052631578947	19	3,-3,0,3,-3,-3,-3,-3,-3,3,1,-3,1,3,-3,-2,-1,0,1
magnificence	-0.76	-1	-3	0.470588235294118	17	3,0,-3,-3,3,0,-3,2,-3,1,-3,-3,-3,2,-3,-1,1
grace	0.17	0	3	0.391304347826087	23	3,0,3,3,3,3,1,3,1,3,-3,-3,-3,3,2,-2,-3,-3,-3,-3,-3,-1,3
rewarding	0.40	0	-3	0.2	15	0,2,3,-3,-3,-1,-3,2,-2,1,3,2,1,1,3
detonation	1.24	1	3	0.352941176470588	17	2,3,2,3,-1,-2,-2,-2,-2,3,3,3,3,2,2,2,2
exhilarative	0.00	0	-3	0.333333333333333	18	1,0,2,2,-3,-3,-3,-3,-3,-1,3,2,2,3,-1,3,2,-3
golden opportunity	-0.06	0	1	0.388888888888889	18	1,1,1,0,-3,1,-3,-3,1,3,0,-3,1,3,-3,1,2,-1
fundamentalism	0.47	0	2	0.529411764705882	17	0,2,1,-3,2,-3,-3,-3,2,1,2,2,2,0,2,2,2
good fun	-1.07	-1	-3	0.5	14	3,-3,-3,-1,-3,-3,2,-2,-3,-3,0,1,-3,3
high quality	-0.57	-1	-3	0.357142857142857	14	0,1,-3,-3,3,-3,-1,3,1,-3,0,0,-3,0
camaraderie	-1.56	-2	-3	0.5625	16	-1,3,-3,-3,-3,-3,-2,-3,3,-2,-3,3,-3,-2,-3,-3
funeral	0.61	1	-3	0.277777777777778	18	3,1,2,1,3,3,-3,-3,-3,-3,1,2,0,2,-3,3,2,3
glorious	-1.40	-1	-3	0.6	20	-3,-3,-3,-1,3,-3,-3,-2,-3,-3,-3,2,3,3,-3,1,-3,-1,-3,-3
truelove	-1.17	-1	-3	0.5	18	-3,-3,-3,-3,1,2,0,0,-2,-3,2,-3,-3,1,0,-3,2,-3
staunchness	-0.33	0	-3	0.333333333333333	15	2,-3,-3,-3,-3,0,1,3,2,-3,0,1,0,1,0
freedom	-1.58	-2	-3	0.684210526315789	19	3,-3,-1,3,-3,2,-3,-3,-3,-3,-3,-3,3,-3,-1,-3,-3,-3,-3
happytweet	-0.35	0	-3	0.352941176470588	17	0,-2,2,1,1,-3,-3,2,1,1,-3,-3,-3,2,-3,2,2
